Time,ObjectVelocity,ObjectPosition,TargetPosition
0,0.997939,0.03324661,1
0.03333334,0.987834,0.06629175,0.9666666
0.06666667,0.9707301,0.09888493,0.9333333
0.1,0.9475712,0.1308088,0.8999999
0.1333333,0.9192086,0.161876,0.8666666
0.1666667,0.886409,0.191926,0.8333332
0.2,0.8498619,0.2208224,0.7999998
0.2333333,0.8101864,0.2484509,0.7666665
0.2666667,0.7679374,0.2747164,0.7333331
0.3,0.7236112,0.2995415,0.6999997
0.3333333,0.6776509,0.3228644,0.6666664
0.3666667,0.6304511,0.3446372,0.633333
0.4,0.5823623,0.3648245,0.5999997
0.4333334,0.533695,0.3834018,0.5666663
0.4666667,0.4847234,0.4003544,0.5333329
0.5,0.4356888,0.4156762,0.4999996
0.5333334,0.3868026,0.4293685,0.4666663
0.5666667,0.3382493,0.4414393,0.4333329
0.6,0.2901888,0.4519024,0.3999996
0.6333334,0.2427594,0.4607764,0.3666663
0.6666667,0.196079,0.4680844,0.333333
0.7,0.1502483,0.4738528,0.2999996
0.7333333,0.1053513,0.4781114,0.2666663
0.7666667,0.06145818,0.4808923,0.233333
0.8000001,0.01862585,0.48223,0.1999996
0.8333334,-0.02310014,0.4821605,0.1666663
0.8666667,-0.06368454,0.4807211,0.133333
0.9,-0.1031012,0.4779504,0.09999964
0.9333334,-0.1413322,0.4738875,0.06666631
0.9666667,-0.1783666,0.468572,0.03333297
1,-0.2141999,0.4620438,-3.650784E-07
1.033333,-0.2488332,0.4543428,-0.0333337
1.066667,-0.2822723,0.445509,-0.06666704
1.1,-0.3145274,0.4355819,-0.1000004
1.133333,-0.3456121,0.4246006,-0.1333337
1.166667,-0.3755435,0.4126039,-0.166667
1.2,-0.404341,0.3996298,-0.2000004
1.233333,-0.4320266,0.3857156,-0.2333337
1.266667,-0.4586239,0.3708981,-0.266667
1.3,-0.4841583,0.3552129,-0.3000004
1.333333,-0.5086563,0.338695,-0.3333337
1.366667,-0.5321455,0.3213784,-0.366667
1.4,-0.5546542,0.3032964,-0.4000004
1.433333,-0.5762112,0.284481,-0.4333337
1.466667,-0.5968456,0.2649634,-0.466667
1.5,-0.616587,0.2447738,-0.5000004
1.533333,-0.6354647,0.2239415,-0.5333337
1.566667,-0.653508,0.2024947,-0.5666671
1.6,-0.6707461,0.1804607,-0.6000004
1.633333,-0.6872079,0.1578658,-0.6333338
1.666667,-0.7029219,0.1347355,-0.6666672
1.7,-0.717916,0.111094,-0.7000005
1.733333,-0.7322177,0.08696505,-0.7333339
1.766667,-0.7458541,0.06237103,-0.7666672
1.8,-0.7588516,0.03733375,-0.8000006
1.833333,-0.7712358,0.01187403,-0.833334
1.866667,-0.7830318,-0.01398811,-0.8666673
