Time,ObjectVelocity,ObjectPosition,TargetPosition
0,0.997939,0.03324661,1
0.03333334,0.987834,0.06629175,0.9666666
0.06666667,0.9707301,0.09888493,0.9333333
0.1,0.9475712,0.1308088,0.8999999
0.1333333,0.9192086,0.161876,0.8666666
0.1666667,0.886409,0.191926,0.8333332
0.2,0.8498619,0.2208224,0.7999998
0.2333333,0.8101864,0.2484509,0.7666665
0.2666667,0.7679374,0.2747164,0.7333331
0.3,0.7236112,0.2995415,0.6999997
0.3333333,0.6776509,0.3228644,0.6666664
0.3666667,0.6304511,0.3446372,0.633333
0.4,0.5823623,0.3648245,0.5999997
0.4333334,0.533695,0.3834018,0.5666663
0.4666667,0.4847234,0.4003544,0.5333329
0.5,0.4356888,0.4156762,0.4999996
0.5333334,0.3868026,0.4293685,0.4666663
0.5666667,0,0.4333329,0.4333329
0.6,-0.004158079,0.4332643,0.3999996
0.6333334,-0.01193841,0.4329973,0.3666663
0.6666667,-0.02285695,0.4324196,0.333333
0.7,-0.03647699,0.4314339,0.2999996
0.7333333,-0.05240509,0.4299567,0.2666663
0.7666667,-0.07028726,0.4279172,0.233333
0.8000001,-0.08980557,0.4252555,0.1999996
0.8333334,-0.110675,0.4219219,0.1666663
0.8666667,-0.1326403,0.4178756,0.133333
0.9,-0.1554736,0.413084,0.09999964
0.9333334,-0.178972,0.4075215,0.06666631
0.9666667,-0.2029549,0.4011689,0.03333297
1,-0.2272624,0.3940129,-3.650784E-07
1.033333,-0.251753,0.3860448,-0.0333337
1.066667,-0.2763022,0.3772607,-0.06666704
1.1,-0.3008008,0.3676604,-0.1000004
1.133333,-0.3251534,0.3572472,-0.1333337
1.166667,-0.3492772,0.3460273,-0.166667
1.2,-0.3731005,0.3340095,-0.2000004
1.233333,-0.3965618,0.3212049,-0.2333337
1.266667,-0.419609,0.3076262,-0.266667
1.3,-0.4421979,0.2932882,-0.3000004
1.333333,-0.464292,0.2782065,-0.3333337
1.366667,-0.4858612,0.2623982,-0.366667
1.4,-0.5068815,0.2458811,-0.4000004
1.433333,-0.5273341,0.2286738,-0.4333337
1.466667,-0.5472048,0.2107955,-0.466667
1.5,-0.5664837,0.1922656,-0.5000004
1.533333,-0.5851647,0.173104,-0.5333337
1.566667,-0.6032446,0.1533307,-0.5666671
1.6,-0.6207234,0.1329655,-0.6000004
1.633333,-0.6376036,0.1120285,-0.6333338
1.666667,-0.6538897,0.09053959,-0.6666672
1.7,-0.6695881,0.06851833,-0.7000005
1.733333,-0.684707,0.04598421,-0.7333339
1.766667,-0.6992559,0.02295633,-0.7666672
1.8,-0.7132455,-0.0005465263,-0.8000006
1.833333,-0.7266874,-0.02450589,-0.833334
